plot,rep,trtname,trtnum,nrate_kgha,krate_kgha
101,1,0+60,3,0,60
102,1,200+30,8,200,30
103,1,0+30,2,0,30
104,1,100+0,4,100,0
105,1,200+0,7,200,0
106,1,0+0,1,0,0
107,1,200+60,9,200,60
108,1,100+30,5,100,30
109,1,100+60,6,100,60
201,2,0+30,2,0,30
202,2,100+60,6,100,60
203,2,0+60,3,0,60
204,2,200+30,8,200,30
205,2,200+60,9,200,60
206,2,0+0,1,0,0
207,2,200+0,7,200,0
208,2,100+30,5,100,30
209,2,100+0,4,100,0
301,3,0+0,1,0,0
302,3,100+0,4,100,0
303,3,200+30,8,200,30
304,3,0+30,2,0,30
305,3,200+0,7,200,0
306,3,0+60,3,0,60
307,3,200+60,9,200,60
308,3,100+60,6,100,60
309,3,100+30,5,100,30
401,4,100+0,4,100,0
402,4,0+30,2,0,30
403,4,200+0,7,200,0
404,4,100+60,6,100,60
405,4,200+30,8,200,30
406,4,200+60,9,200,60
407,4,0+60,3,0,60
408,4,100+30,5,100,30
409,4,0+0,1,0,0
